Date/Time,THERMAL ZONE 1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),THERMAL ZONE 1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Heating Energy [J](Hourly),THERMAL ZONE 1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),THERMAL ZONE 1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),THERMAL ZONE 1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),THERMAL ZONE 1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),THERMAL ZONE 1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Rate [W](Hourly),THERMAL ZONE 1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Heating Rate [W](Hourly),THERMAL ZONE 1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Rate [W](Hourly),THERMAL ZONE 1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Rate [W](Hourly),THERMAL ZONE 1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Rate [W](Hourly),THERMAL ZONE 1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Rate [W](Hourly),THERMAL ZONE 2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),THERMAL ZONE 2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Heating Energy [J](Hourly),THERMAL ZONE 2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),THERMAL ZONE 2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),THERMAL ZONE 2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),THERMAL ZONE 2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),THERMAL ZONE 2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Rate [W](Hourly),THERMAL ZONE 2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Heating Rate [W](Hourly),THERMAL ZONE 2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Rate [W](Hourly),THERMAL ZONE 2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Rate [W](Hourly),THERMAL ZONE 2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Rate [W](Hourly),THERMAL ZONE 2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Rate [W](Hourly),Electricity:Facility [J](TimeStep),DistrictCooling:Facility [J](TimeStep) 
 07/21  11:00:00,0.0,0.0,0.0,11597080.132511856,2346840.3175610797,13943920.450072937,0.0,0.0,0.0,3221.41114791996,651.900088211411,3873.311236131371,0.0,0.0,0.0,4477220.543092252,1071320.0318865336,5548540.574978785,0.0,0.0,0.0,1243.672373081181,297.58889774625936,1541.2612708274403,9881269.76253951,19492461.02505172 
 07/21  12:00:00,0.0,0.0,0.0,11730208.137502937,2287195.8465996063,14017403.984102542,0.0,0.0,0.0,3258.391149306371,635.3321796110017,3893.723328917373,0.0,0.0,0.0,4573062.461017379,1093441.2643166697,5666503.725334048,0.0,0.0,0.0,1270.295128060383,303.73368453240823,1574.0288125927912,9881269.76253951,19683907.709436588 
 07/21  13:00:00,0.0,0.0,0.0,11756259.382461876,2243714.10275327,13999973.485215146,0.0,0.0,0.0,3265.62760623941,623.2539174314638,3888.881523670874,0.0,0.0,0.0,4689488.066360669,1103831.1079939965,5793319.174354666,0.0,0.0,0.0,1302.6355739890748,306.6197522205546,1609.2553262096294,9881269.76253951,19793292.65956981 
 07/21  14:00:00,0.0,0.0,0.0,12083670.213502517,2290496.8726403383,14374167.086142857,0.0,0.0,0.0,3356.575059306255,636.2491312889829,3992.8241905952377,0.0,0.0,0.0,4803481.663593063,1107440.5740793978,5910922.23767246,0.0,0.0,0.0,1334.300462109184,307.6223816887216,1641.9228437979057,9881269.76253951,20285089.323815316 
 07/21  15:00:00,0.0,0.0,0.0,12395535.966953883,2319089.4351477935,14714625.402101677,0.0,0.0,0.0,3443.2044352649677,644.1915097632759,4087.3959450282437,0.0,0.0,0.0,4878861.783533883,1102813.5302514469,5981675.31378533,0.0,0.0,0.0,1355.2393843149675,306.337091736513,1661.5764760514805,9881269.76253951,20696300.715887006 
 07/21  16:00:00,0.0,0.0,0.0,12420867.842475066,2277208.654155661,14698076.496630726,0.0,0.0,0.0,3450.241067354185,632.5579594876835,4082.7990268418685,0.0,0.0,0.0,4895259.734122387,1090326.597888093,5985586.332010481,0.0,0.0,0.0,1359.794370589552,302.86849941335913,1662.6628700029112,9881269.76253951,20683662.828641206 
 07/21  17:00:00,0.0,0.0,0.0,12202113.956600929,2213522.860194574,14415636.816795502,0.0,0.0,0.0,3389.4760990558134,614.8674611651595,4004.343560220973,0.0,0.0,0.0,4878899.751542172,1079590.6442561315,5958490.395798304,0.0,0.0,0.0,1355.2499309839368,299.88629007114764,1655.1362210550844,9881269.76253951,20374127.212593805 
 07/21  18:00:00,0.0,0.0,0.0,11677476.607282134,2134159.1084171226,13811635.715699257,0.0,0.0,0.0,3243.743502022815,592.8219745603119,3836.565476583127,0.0,0.0,0.0,4849801.29904902,1073799.7666939294,5923601.065742949,0.0,0.0,0.0,1347.1670275136166,298.27771297053596,1645.4447404841526,9881269.76253951,19735236.781442206 
 07/21  19:00:00,0.0,0.0,0.0,10697347.287793154,2010024.5541942897,12707371.841987444,0.0,0.0,0.0,2971.4853577203207,558.3401539428583,3529.825511663179,0.0,0.0,0.0,4744860.224888425,1055215.2046483697,5800075.429536795,0.0,0.0,0.0,1318.0167291356738,293.11533462454713,1611.132063760221,9881269.76253951,18507447.27152424 
 07/21  20:00:00,0.0,0.0,0.0,9753675.167846633,1936654.4762085816,11690329.644055214,0.0,0.0,0.0,2709.3542132907314,537.959576724606,3247.3137900153374,0.0,0.0,0.0,4665366.922384955,1049924.0615641947,5715290.983949149,0.0,0.0,0.0,1295.935256218043,291.6455726567208,1587.5808288747637,9881269.76253951,17405620.628004365 
 07/21  21:00:00,0.0,0.0,0.0,9169427.426165001,1950535.2317421483,11119962.65790715,0.0,0.0,0.0,2547.0631739347227,541.8153421505967,3088.8785160853195,0.0,0.0,0.0,4578750.000477192,1045368.2600746889,5624118.260551881,0.0,0.0,0.0,1271.8750001325534,290.38007224296916,1562.2550723755226,9881269.76253951,16744080.918459032 
 07/21  22:00:00,0.0,0.0,0.0,8726985.165441252,1966984.4067650465,10693969.5722063,0.0,0.0,0.0,2424.1625459559036,546.3845574347351,2970.5471033906388,0.0,0.0,0.0,4458506.960813582,1032758.066220918,5491265.0270345,0.0,0.0,0.0,1238.4741557815505,286.87724061692165,1525.3513963984722,9881269.76253951,16185234.599240799 
 07/21  23:00:00,0.0,0.0,0.0,2072588.4131110506,456569.771411033,2529158.1845220835,0.0,0.0,0.0,575.7190036419584,126.82493650306468,702.5439401450229,0.0,0.0,0.0,876840.5925194442,202106.65666088264,1078947.2491803267,0.0,0.0,0.0,243.56683125540107,56.14073796135627,299.70756921675735,9881269.76253951,3608105.43370241 
 07/21  24:00:00,0.0,0.0,0.0,1387768.0139591014,326526.39384362014,1714294.4078027217,0.0,0.0,0.0,385.4911149886393,90.70177606767226,476.19289105631157,0.0,0.0,0.0,493226.84946013393,122040.77309990056,615267.6225600345,0.0,0.0,0.0,137.00745818337055,33.90021474997238,170.90767293334292,9881269.76253951,2329562.030362756 
 01/21  01:00:00,13878413.772531724,0.0,13878413.772531724,0.0,0.0,0.0,3855.1149368143674,0.0,3855.1149368143674,0.0,0.0,0.0,7438818.37754582,0.0,7438818.37754582,0.0,0.0,0.0,2066.338438207172,0.0,2066.338438207172,0.0,0.0,0.0,9881269.76253951,0.0 
 01/21  02:00:00,13899205.615743846,0.0,13899205.615743846,0.0,0.0,0.0,3860.890448817735,0.0,3860.890448817735,0.0,0.0,0.0,7451662.563263842,0.0,7451662.563263842,0.0,0.0,0.0,2069.9062675732894,0.0,2069.9062675732894,0.0,0.0,0.0,9881269.76253951,0.0 
 01/21  03:00:00,13910202.020692902,0.0,13910202.020692902,0.0,0.0,0.0,3863.945005748028,0.0,3863.945005748028,0.0,0.0,0.0,7458792.292983999,0.0,7458792.292983999,0.0,0.0,0.0,2071.8867480511108,0.0,2071.8867480511108,0.0,0.0,0.0,9881269.76253951,0.0 
 01/21  04:00:00,13915786.771145413,0.0,13915786.771145413,0.0,0.0,0.0,3865.4963253181704,0.0,3865.4963253181704,0.0,0.0,0.0,7462435.598333898,0.0,7462435.598333898,0.0,0.0,0.0,2072.8987773149715,0.0,2072.8987773149715,0.0,0.0,0.0,9881269.76253951,0.0 
 01/21  05:00:00,13919507.617135953,0.0,13919507.617135953,0.0,0.0,0.0,3866.5298936488757,0.0,3866.5298936488757,0.0,0.0,0.0,7464883.855068278,0.0,7464883.855068278,0.0,0.0,0.0,2073.578848630077,0.0,2073.578848630077,0.0,0.0,0.0,9881269.76253951,0.0 
 01/21  06:00:00,13922565.730486,0.0,13922565.730486,0.0,0.0,0.0,3867.3793695794443,0.0,3867.3793695794443,0.0,0.0,0.0,7466923.867744508,0.0,7466923.867744508,0.0,0.0,0.0,2074.145518817919,0.0,2074.145518817919,0.0,0.0,0.0,9881269.76253951,0.0 
 01/21  07:00:00,14573683.9306767,0.0,14573683.9306767,0.0,0.0,0.0,4048.2455362990836,0.0,4048.2455362990836,0.0,0.0,0.0,7229773.69779786,0.0,7229773.69779786,0.0,0.0,0.0,2008.2704716105166,0.0,2008.2704716105166,0.0,0.0,0.0,9881269.76253951,0.0 
 01/21  08:00:00,14478492.780382898,0.0,14478492.780382898,0.0,0.0,0.0,4021.8035501063605,0.0,4021.8035501063605,0.0,0.0,0.0,7176536.386596609,0.0,7176536.386596609,0.0,0.0,0.0,1993.482329610169,0.0,1993.482329610169,0.0,0.0,0.0,9881269.76253951,0.0 
 01/21  09:00:00,14443446.85506383,0.0,14443446.85506383,0.0,0.0,0.0,4012.0685708510637,0.0,4012.0685708510637,0.0,0.0,0.0,7155466.495932204,0.0,7155466.495932204,0.0,0.0,0.0,1987.6295822033899,0.0,1987.6295822033899,0.0,0.0,0.0,9881269.76253951,0.0 
 01/21  10:00:00,14428854.363170143,0.0,14428854.363170143,0.0,0.0,0.0,4008.015100880595,0.0,4008.015100880595,0.0,0.0,0.0,7146367.211954803,0.0,7146367.211954803,0.0,0.0,0.0,1985.1020033207787,0.0,1985.1020033207787,0.0,0.0,0.0,9881269.76253951,0.0 
 01/21  11:00:00,14421467.402595028,0.0,14421467.402595028,0.0,0.0,0.0,4005.963167387508,0.0,4005.963167387508,0.0,0.0,0.0,7141665.463264148,0.0,7141665.463264148,0.0,0.0,0.0,1983.7959620178187,0.0,1983.7959620178187,0.0,0.0,0.0,9881269.76253951,0.0 
 01/21  12:00:00,14418066.345335698,0.0,14418066.345335698,0.0,0.0,0.0,4005.018429259916,0.0,4005.018429259916,0.0,0.0,0.0,7139546.137645005,0.0,7139546.137645005,0.0,0.0,0.0,1983.207260456946,0.0,1983.207260456946,0.0,0.0,0.0,9881269.76253951,0.0 
 01/21  13:00:00,14416135.315805856,0.0,14416135.315805856,0.0,0.0,0.0,4004.4820321682932,0.0,4004.4820321682932,0.0,0.0,0.0,7138381.6326604625,0.0,7138381.6326604625,0.0,0.0,0.0,1982.8837868501284,0.0,1982.8837868501284,0.0,0.0,0.0,9881269.76253951,0.0 
 01/21  14:00:00,14414800.933034426,0.0,14414800.933034426,0.0,0.0,0.0,4004.1113702873404,0.0,4004.1113702873404,0.0,0.0,0.0,7137599.626389505,0.0,7137599.626389505,0.0,0.0,0.0,1982.6665628859737,0.0,1982.6665628859737,0.0,0.0,0.0,9881269.76253951,0.0 
 01/21  15:00:00,14413922.723495474,0.0,14413922.723495474,0.0,0.0,0.0,4003.8674231931873,0.0,4003.8674231931873,0.0,0.0,0.0,7137109.843342765,0.0,7137109.843342765,0.0,0.0,0.0,1982.530512039657,0.0,1982.530512039657,0.0,0.0,0.0,9881269.76253951,0.0 
 01/21  16:00:00,14413375.810126185,0.0,14413375.810126185,0.0,0.0,0.0,4003.715502812829,0.0,4003.715502812829,0.0,0.0,0.0,7136832.722848151,0.0,7136832.722848151,0.0,0.0,0.0,1982.4535341244864,0.0,1982.4535341244864,0.0,0.0,0.0,9881269.76253951,0.0 
 01/21  17:00:00,14413063.427581364,0.0,14413063.427581364,0.0,0.0,0.0,4003.6287298837124,0.0,4003.6287298837124,0.0,0.0,0.0,7136706.685527636,0.0,7136706.685527636,0.0,0.0,0.0,1982.4185237576767,0.0,1982.4185237576767,0.0,0.0,0.0,9881269.76253951,0.0 
 01/21  18:00:00,14412915.334775157,0.0,14412915.334775157,0.0,0.0,0.0,4003.5875929930994,0.0,4003.5875929930994,0.0,0.0,0.0,7136686.539393563,0.0,7136686.539393563,0.0,0.0,0.0,1982.4129276093229,0.0,1982.4129276093229,0.0,0.0,0.0,9881269.76253951,0.0 
 01/21  19:00:00,20633683.569758732,0.0,20633683.569758732,0.0,0.0,0.0,5731.5787693774255,0.0,5731.5787693774255,0.0,0.0,0.0,10807780.921989918,0.0,10807780.921989918,0.0,0.0,0.0,3002.1613672194217,0.0,3002.1613672194217,0.0,0.0,0.0,9881269.76253951,0.0 
 01/21  20:00:00,20633787.31632465,0.0,20633787.31632465,0.0,0.0,0.0,5731.6075878679585,0.0,5731.6075878679585,0.0,0.0,0.0,10807884.379163966,0.0,10807884.379163966,0.0,0.0,0.0,3002.1901053233237,0.0,3002.1901053233237,0.0,0.0,0.0,9881269.76253951,0.0 
 01/21  21:00:00,20633939.25316681,0.0,20633939.25316681,0.0,0.0,0.0,5731.649792546336,0.0,5731.649792546336,0.0,0.0,0.0,10808021.60596303,0.0,10808021.60596303,0.0,0.0,0.0,3002.2282238786197,0.0,3002.2282238786197,0.0,0.0,0.0,9881269.76253951,0.0 
 01/21  22:00:00,20634105.067740675,0.0,20634105.067740675,0.0,0.0,0.0,5731.695852150187,0.0,5731.695852150187,0.0,0.0,0.0,10808180.851031411,0.0,10808180.851031411,0.0,0.0,0.0,3002.2724586198365,0.0,3002.2724586198365,0.0,0.0,0.0,9881269.76253951,0.0 
 01/21  23:00:00,14108855.2168713,0.0,14108855.2168713,0.0,0.0,0.0,3919.1264491309166,0.0,3919.1264491309166,0.0,0.0,0.0,7548365.4241892295,0.0,7548365.4241892295,0.0,0.0,0.0,2096.768173385897,0.0,2096.768173385897,0.0,0.0,0.0,9881269.76253951,0.0 
 01/21  24:00:00,14202652.699204527,0.0,14202652.699204527,0.0,0.0,0.0,3945.181305334591,0.0,3945.181305334591,0.0,0.0,0.0,7601328.496709395,0.0,7601328.496709395,0.0,0.0,0.0,2111.480137974832,0.0,2111.480137974832,0.0,0.0,0.0,9881269.76253951,0.0 
 01/01  01:00:00,3342534.8149781744,0.0,3342534.8149781744,0.0,0.0,0.0,928.4818930494929,0.0,928.4818930494929,0.0,0.0,0.0,1197818.2036859458,0.0,1197818.2036859458,0.0,0.0,0.0,332.7272788016516,0.0,332.7272788016516,0.0,0.0,0.0,1938472.626945253,0.0 
 01/01  02:00:00,4568331.320655198,0.0,4568331.320655198,0.0,0.0,0.0,1268.9809224042217,0.0,1268.9809224042217,0.0,0.0,0.0,2084940.0919621345,0.0,2084940.0919621345,0.0,0.0,0.0,579.1500255450374,0.0,579.1500255450374,0.0,0.0,0.0,1938472.626945253,0.0 
 01/01  03:00:00,5264919.381255988,0.0,5264919.381255988,0.0,0.0,0.0,1462.4776059044411,0.0,1462.4776059044411,0.0,0.0,0.0,2453939.7240982545,0.0,2453939.7240982545,0.0,0.0,0.0,681.6499233606263,0.0,681.6499233606263,0.0,0.0,0.0,1938472.626945253,0.0 
 01/01  04:00:00,5911227.164170959,0.0,5911227.164170959,0.0,0.0,0.0,1642.0075456030443,0.0,1642.0075456030443,0.0,0.0,0.0,2882089.6500117783,0.0,2882089.6500117783,0.0,0.0,0.0,800.5804583366051,0.0,800.5804583366051,0.0,0.0,0.0,1938472.626945253,0.0 
 01/01  05:00:00,6476236.881372178,0.0,6476236.881372178,0.0,0.0,0.0,1798.9546892700494,0.0,1798.9546892700494,0.0,0.0,0.0,3190771.6038854583,0.0,3190771.6038854583,0.0,0.0,0.0,886.3254455237384,0.0,886.3254455237384,0.0,0.0,0.0,1938472.626945253,0.0 
 01/01  06:00:00,6687565.759635292,0.0,6687565.759635292,0.0,0.0,0.0,1857.6571554542477,0.0,1857.6571554542477,0.0,0.0,0.0,3356061.5677639716,0.0,3356061.5677639716,0.0,0.0,0.0,932.239324378881,0.0,932.239324378881,0.0,0.0,0.0,2226191.952383903,0.0 
 01/01  07:00:00,18039697.942573022,0.0,18039697.942573022,0.0,0.0,0.0,5011.027206270285,0.0,5011.027206270285,0.0,0.0,0.0,9601384.978036027,0.0,9601384.978036027,0.0,0.0,0.0,2667.0513827877858,0.0,2667.0513827877858,0.0,0.0,0.0,2226191.952383903,0.0 
 01/01  08:00:00,11831815.840351032,0.0,11831815.840351032,0.0,0.0,0.0,3286.61551120862,0.0,3286.61551120862,0.0,0.0,0.0,6875870.900727829,0.0,6875870.900727829,0.0,0.0,0.0,1909.9641390910635,0.0,1909.9641390910635,0.0,0.0,0.0,3377069.2541385037,0.0 
 01/01  09:00:00,12527847.367711514,0.0,12527847.367711514,0.0,0.0,0.0,3479.957602142087,0.0,3479.957602142087,0.0,0.0,0.0,6848508.265583082,0.0,6848508.265583082,0.0,0.0,0.0,1902.3634071064116,0.0,1902.3634071064116,0.0,0.0,0.0,8893142.786285559,0.0 
 01/01  10:00:00,8417741.867382936,0.0,8417741.867382936,0.0,0.0,0.0,2338.2616298285934,0.0,2338.2616298285934,0.0,0.0,0.0,5134719.065370665,0.0,5134719.065370665,0.0,0.0,0.0,1426.3108514918513,0.0,1426.3108514918513,0.0,0.0,0.0,8893142.786285559,0.0 
 01/01  11:00:00,6017042.707619623,0.0,6017042.707619623,0.0,0.0,0.0,1671.400752116562,0.0,1671.400752116562,0.0,0.0,0.0,4321135.351327687,0.0,4321135.351327687,0.0,0.0,0.0,1200.3153753688018,0.0,1200.3153753688018,0.0,0.0,0.0,8893142.786285559,0.0 
 01/01  12:00:00,4190860.993015299,0.0,4190860.993015299,0.0,0.0,0.0,1164.1280536153608,0.0,1164.1280536153608,0.0,0.0,0.0,3654175.783957786,0.0,3654175.783957786,0.0,0.0,0.0,1015.0488288771628,0.0,1015.0488288771628,0.0,0.0,0.0,8893142.786285559,0.0 
 01/01  13:00:00,2835475.697869128,0.0,2835475.697869128,0.0,0.0,0.0,787.63213829698,0.0,787.63213829698,0.0,0.0,0.0,2762320.5335096526,0.0,2762320.5335096526,0.0,0.0,0.0,767.3112593082368,0.0,767.3112593082368,0.0,0.0,0.0,8480454.460908908,0.0 
 01/01  14:00:00,1926728.1133702302,0.0,1926728.1133702302,0.0,0.0,0.0,535.2022537139528,0.0,535.2022537139528,0.0,0.0,0.0,2752044.525203859,0.0,2752044.525203859,0.0,0.0,0.0,764.4568125566275,0.0,764.4568125566275,0.0,0.0,0.0,8893142.786285559,0.0 
 01/01  15:00:00,781390.5743444585,0.0,781390.5743444585,0.0,0.0,0.0,217.05293731790513,0.0,217.05293731790513,0.0,0.0,0.0,2490734.683156991,0.0,2490734.683156991,0.0,0.0,0.0,691.8707453213864,0.0,691.8707453213864,0.0,0.0,0.0,8893142.786285559,0.0 
 01/01  16:00:00,768260.7055395142,0.0,768260.7055395142,0.0,0.0,0.0,213.40575153875395,0.0,213.40575153875395,0.0,0.0,0.0,2401147.7141005956,0.0,2401147.7141005956,0.0,0.0,0.0,666.9854761390543,0.0,666.9854761390543,0.0,0.0,0.0,8893142.786285559,0.0 
 01/01  17:00:00,2305938.8388249343,0.0,2305938.8388249343,0.0,0.0,0.0,640.5385663402595,0.0,640.5385663402595,0.0,0.0,0.0,2405588.2638059035,0.0,2405588.2638059035,0.0,0.0,0.0,668.2189621683065,0.0,668.2189621683065,0.0,0.0,0.0,8893142.786285559,0.0 
 01/01  18:00:00,4334980.816905657,0.0,4334980.816905657,0.0,0.0,0.0,1204.161338029349,0.0,1204.161338029349,0.0,0.0,0.0,2805500.266908227,0.0,2805500.266908227,0.0,0.0,0.0,779.3056296967297,0.0,779.3056296967297,0.0,0.0,0.0,7329577.159154307,0.0 
 01/01  19:00:00,5401898.230356024,0.0,5401898.230356024,0.0,0.0,0.0,1500.5272862100067,0.0,1500.5272862100067,0.0,0.0,0.0,3105888.966329104,0.0,3105888.966329104,0.0,0.0,0.0,862.7469350914178,0.0,862.7469350914178,0.0,0.0,0.0,5353323.206646405,0.0 
